what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1363809217391
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1363809272730
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1363809277546
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1363809296626
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1363809312977
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1363809323241
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1363809331681
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1363809341049
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1363809355384
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1363809361885
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1363809364857
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363809639264
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363809645340
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363809648243
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363809653871
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363809654869
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363809665146
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1363809678693
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1363809683158
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1363809692188
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363809694262
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363809695860
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363809696059
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1363809698571
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363809702776
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1363809717249
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1363809741034
